"geografie","geslacht","migratieachtergrond","huishouden","bins","opleiding_ouders","uitkomst","mean","parents_income","N","type","uitkomst_NL","subgroep","sample","sd"
"Nederland","Mannen","Zonder migratieachtergrond","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.681198910081744,79.4777467382319,286260,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Turkije","Totaal","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Turkije","Totaal","Totaal","hbo","c00_infant_mortality",0.524842547235829,77.4695157076082,2858,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Turkije","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.926959059308214,56.3712885398891,23302,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Turkije","Eenoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Turkije","Eenoudergezin","Totaal","hbo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Turkije","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.651465798045603,37.0294641343934,2149,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Turkije","Tweeoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Turkije","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.556792873051225,78.8343965920229,2694,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Turkije","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.933959133361779,58.3993681395347,21093,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Marokko","Totaal","Totaal","wo","c00_infant_mortality",1.05980317940954,93.5810908364511,1321,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Marokko","Totaal","Totaal","hbo","c00_infant_mortality",0.560067208064968,80.2194528152748,3571,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Marokko","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.89288722665858,54.2958008251381,29679,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Marokko","Eenoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Marokko","Eenoudergezin","Totaal","hbo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Marokko","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.632911392405063,37.0948526432738,3476,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Marokko","Tweeoudergezin","Totaal","wo","c00_infant_mortality",1.08243130724396,96.5634741774581,1201,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Marokko","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.460263884627186,82.6327035480402,3259,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Marokko","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.904249204950381,56.6516230086861,26099,"parents_edu","Zuigelingensterfte",NA,NA,NA
